Model,Episode,Reward,Stopping_Time
Rainbow,0,1.0,3
Rainbow,1,1.0,2
Rainbow,2,1.0,3
Rainbow,3,1.0,2
Rainbow,4,0.6590419665495552,4
Rainbow,5,0.0,3
Rainbow,6,1.0,8
Rainbow,7,1.0,7
Rainbow,8,1.0,6
Rainbow,9,1.0,5
Rainbow,10,1.0,4
Rainbow,11,1.0,3
Rainbow,12,1.0,2
Rainbow,13,1.0,1
Rainbow,14,0.5,0
Rainbow,15,0.1126726568585497,8
Rainbow,16,0.0,8
Rainbow,17,0.0,8
Rainbow,18,0.08492097505227134,8
Rainbow,19,0.0030812672075895176,8
Rainbow,20,0.044172930046972085,8
Rainbow,21,0.8202474936071762,8
Rainbow,22,1.0,8
Rainbow,23,0.832456499043973,8
Rainbow,24,0.832456499043973,7
Rainbow,25,0.832456499043973,6
Rainbow,26,0.831969776462206,5
Rainbow,27,0.831969776462206,4
Rainbow,28,1.0,4
Rainbow,29,1.0,3
Rainbow,30,1.0,2
Rainbow,31,0.5,0
Rainbow,32,0.5,0
Rainbow,33,1.0,1
Rainbow,34,1.0,2
Rainbow,35,1.0,1
Rainbow,36,1.0,3
Rainbow,37,0.5677191368350621,8
Rainbow,38,0.35521913683506295,8
Rainbow,39,0.3227249916359978,8
Rainbow,40,0.3770472561801417,8
Rainbow,41,0.7982508083314528,8
Rainbow,42,0.7394681930972271,8
Rainbow,43,1.0,8
Rainbow,44,1.0,5
Rainbow,45,1.0,7
Rainbow,46,0.0,1
Rainbow,47,0.5,0
Rainbow,48,1.0,5
Rainbow,49,1.0,4
Rainbow,50,1.0,4
Rainbow,51,0.7134752639229799,6
Rainbow,52,0.6595235187613823,5
Rainbow,53,0.0,4
Rainbow,54,0.07097328446908448,8
Rainbow,55,0.0,8
Rainbow,56,0.0,3
Rainbow,57,0.0,2
Rainbow,58,0.0,1
Rainbow,59,0.5,0
Rainbow,60,1.0,5
Rainbow,61,1.0,4
Rainbow,62,0.0,8
Rainbow,63,0.0,7
Rainbow,64,0.0,7
Rainbow,65,0.10475343292958701,8
Rainbow,66,0.26876478939895876,8
Rainbow,67,0.7227709446308037,8
Rainbow,68,0.7389737855634263,8
Rainbow,69,0.8181461555704997,8
Rainbow,70,0.0,8
Rainbow,71,0.2579573365633712,8
Rainbow,72,0.2579573365633712,7
Rainbow,73,1.0,7
Rainbow,74,1.0,6
Rainbow,75,1.0,5
Rainbow,76,0.979937150930193,6
Rainbow,77,0.979937150930193,5
Rainbow,78,0.979937150930193,4
Rainbow,79,0.9768067201237386,3
Rainbow,80,1.0,3
Rainbow,81,1.0,2
Rainbow,82,0.5,0
Rainbow,83,0.5,0
Rainbow,84,0.5,0
