Model,Episode,Reward,Stopping_Time
Rainbow,174,0.0,8
Rainbow,175,0.0,8
Rainbow,176,0.6298242509653237,8
Rainbow,177,0.41861890708241406,8
Rainbow,178,0.6597445603746281,8
Rainbow,179,0.6191345892553576,8
Rainbow,180,0.6810301861442787,8
Rainbow,181,0.17970038570545854,8
Rainbow,182,0.30500689681597054,8
Rainbow,183,1.0,3
Rainbow,184,1.0,2
Rainbow,185,1.0,1
Rainbow,186,0.5,0
Rainbow,187,0.0,2
Rainbow,188,0.0,1
Rainbow,189,0.5,0
Rainbow,190,1.0,1
Rainbow,191,0.5,0
Rainbow,192,0.5,0
Rainbow,193,0.5,0
Rainbow,194,1.0,1
Rainbow,195,0.5,0
Rainbow,196,0.555046129612961,7
Rainbow,197,0.555046129612961,6
Rainbow,198,0.5238073807380742,6
Rainbow,199,0.0,7
Martingale,0,1.0,1
Martingale,1,0.5,0
Martingale,2,0.5,0
Martingale,3,0.9768933314278174,3
Martingale,4,1.0,1
Martingale,5,0.5,0
Martingale,6,0.5,0
Martingale,7,0.5,0
Martingale,8,0.5,0
Martingale,9,0.5,0
Martingale,10,0.5,0
Martingale,11,0.5,0
Martingale,12,1.0,2
Martingale,13,1.0,1
Martingale,14,0.5,0
Martingale,15,0.0,1
Martingale,16,0.5,0
Martingale,17,0.5,0
Martingale,18,0.5,0
Martingale,19,0.0030812672075895176,8
Martingale,20,0.044172930046972085,8
Martingale,21,0.8202474936071762,8
Martingale,22,1.0,8
Martingale,23,1.0,7
Martingale,24,1.0,6
Martingale,25,1.0,4
Martingale,26,1.0,3
Martingale,27,1.0,2
Martingale,28,0.5,0
Martingale,29,0.5,0
Martingale,30,0.5,0
Martingale,31,0.5,0
Martingale,32,0.24746442956909528,2
Martingale,33,1.0,1
Martingale,34,0.5,0
Martingale,35,0.5,0
Martingale,36,0.5,0
Martingale,37,0.5677191368350621,8
Martingale,38,0.35521913683506295,8
Martingale,39,0.3227249916359978,8
Martingale,40,0.3770472561801417,8
Martingale,41,0.7982508083314528,8
Martingale,42,0.7394681930972271,8
Martingale,43,1.0,8
Martingale,44,1.0,8
Martingale,45,0.5,0
Martingale,46,1.0,7
Martingale,47,1.0,6
Martingale,48,1.0,1
Martingale,49,0.5,0
Martingale,50,1.0,1
Martingale,51,0.5,0
Martingale,52,0.5,0
Martingale,53,0.5,0
Martingale,54,0.5,0
Martingale,55,0.0,1
Martingale,56,0.3399739713684986,2
Martingale,57,0.5,0
Martingale,58,0.0,1
Martingale,59,0.22059102955147997,3
Martingale,60,1.0,5
Martingale,61,0.5,0
Martingale,62,1.0,3
Martingale,63,1.0,2
Martingale,64,1.0,1
Martingale,65,0.0,1
Martingale,66,0.5,0
Martingale,67,0.7227709446308037,8
Martingale,68,0.7389737855634263,8
Martingale,69,0.8181461555704997,8
Martingale,70,0.0,8
Martingale,71,0.0,1
Martingale,72,1.0,8
Martingale,73,1.0,7
Martingale,74,1.0,7
Martingale,75,1.0,6
